name,start,title,review
manikandan,1.0 out of 5 stars,"Don't buy, horrible","Very worst product,. Recommend not to buy. Lots of glitches with this watch. Never connects sometimes, never vibrates on calls, never play music etc.. it works on its own way. Fooled by the positive reviews. Requested for the replacement"
Biswa,4.0 out of 5 stars,Smart choice over expensive smart watch,"Background: I have recently purchased an iPhone XR. I really need a smart watch which can track my daily activity, give me a stylish look and provide me various notifications. As usual my first thought was about apple watch.Why I preferred noise colorfit pro 2?Apple watch is very nice, which is a real smart watch. But problem is poor battery life.Do you really think of charging ur apple watch daily?In today’s life already I hv wireless earpods, loud speaker and smartphone which need to be charged daily. Really I don’t want to add one more thing to the list.Do you really need a smart watch to answer calls or reply messages when ur phn is in ur pocket or near by (bcoz if phn is not nearby then these features will not work)? If yes then believe me u r too lazy 🤗.Pros of colorfit pro 2: stylish look, working flawlessly with my iPhone. I can receive all notifications, read messages, control music (working nicely with gaana app, even if gaana app is not open, by clicking play button songs can be played). The activity tracker is also working fine. Good battery life.Cons: Only 5 watch faces (request to noise to update number of watch faces which ll make this watch awesome)Under bright sunshine, screen is hardly visible (the only thing with respect to which amazfit bip lite is the winner)Verdict: U can definitely try this watch though it is really not a smartwatch. In India, smartwatch technology is at nascent stage. So don’t expect much as compared to smartphones. Presently Smartwatch technology in India is like smartphone technology that was 5years ago. So better wait sometimes to use this smart technology at affordable price and let the rich people to enjoy the things for now😀"
Ritesh,1.0 out of 5 stars,No notification,Plz don't buy this watch it's not smart watch it's only smart band .. no call massage notification show in this watch very bad experience with noise pulse watch
Bhavin parmar,1.0 out of 5 stars,MADE ME FOOOL,"dont purchase its totally dumb watch i have ever seen,touch is not working some time ,some time call notification is still dhowing even after call is picked up by phone,message notification is inaccurate,no option for add more dialsand no update there is only 5 dials inbuilt in it activity is also not working good.totally waste of money purchase some other thing please dont purchase this because there is no option for refund even"
Biswamanohar Singh,5.0 out of 5 stars,I'm very happy for this product. I get maximum features in this price rate.,
Rajesh Sharma,1.0 out of 5 stars,Don't by before you read this,Third classs product once get connected and if you restart or get disconnected by mistakly if will never get connect automatically we have to uninstall the appp and reinstall the appp and than we have to bind the watch again again i m doing this process from 4 days i have given complaint via email jo rply yet dont by this product please money waste
Ashok,5.0 out of 5 stars,Lovable product noise company,"Thanks to noise color pro2 smart watch really excellent product,and thanks to amazon speed delivery"
Buyer from Karnataka,1.0 out of 5 stars,Display image is misleading,The screen size of the actual product and what is been displayed in the product description are misleading.
shajimon I J,1.0 out of 5 stars,Don't recommend..Don't be deceited by mere advertisement gimmick,When we try to count steps it gives a very inaccurate reading. Battery life is good after hardly a days use. Not looking great as far as value for money is concerned. The rating is done on the basis of my current experience. The charger or the charging port is looking inactive now...Need to get expert advice in this regard. I sent it to the manufacturer and got it back yesterday.. but I received a defective strap.but when I approached them for its replacement they responded negatively. Their service is very poor.
Patil,1.0 out of 5 stars,You can't request for replacement - very bad customer service,"Had issues with notification and connectivity from day 1 . Customer service is worst, You can't ask for replace you cannot request for replacement from Amazon you have to call Gonoise and raise a complaint they called after 3 days asked to check for few days and they closed the ticket without resolving the issue , I raised one more ticket they responded in 7 days and told they will not replace the device they will will take the device and repair it. Which will take 2 weeks as per the ""Company Policy"" ."
Abhishek R.,1.0 out of 5 stars,Made in China,"I purchased Noise product as i thought it would be made in India, but sadly its also made in China.. All products of Noise are made in China."
Private,1.0 out of 5 stars,"Warning Stay away, Worst product ever","Worst product and no suppert whatsoever.I ordered to gift my wife hence lost the 7 days return window.Opened it on day 10, from day 1 the Bluetooth connectivity had problems, and after a few days the touch stopped working.Since I purchased, initially, I actually referred this to a colleague as well and he had got it replaced twice, still it was faulty.Now I have raised a complaint since 2nd Feb, there has been no response or follow up till today, already 12 days have passed.Kindly stay away from this crap, if you want peace of mind."
Anoop,5.0 out of 5 stars,"Watch is amazing,worth it","I am using this watch since 4 months. I am amazed by this watch as it has great look, it has amazing appearance. Battery back up is good, it runs for 3to 4 days once charged. Tracker n sensors operates smoothly. Overall this watch is worth it."
Sarika ,5.0 out of 5 stars,Amazing product,Just love the product....buy it without any doubt 🙌
Rajat kumar sahoo,3.0 out of 5 stars,Display is not good,Display qualilty is okay but other functions are best
KS Pixe LS,4.0 out of 5 stars,Great smart wearable at this price point!!,"Great looking piece for a smart wearable at this price point! And let’s take nothing away from it, the product delivers to expectations and is practical to the core. So to sum it up -What’s great -1. Display is pretty2. Long lasting battery3. It’s waterproof and dust proof (a must have)4. Light weight and ergonomic design5. Setup is a breeze6. Activity tracking, heart rate (continuous monitoring) and sleep statistics with added health and wellness feature is a boon7. Capacitive touch panel is slickNot so great -1. Limited watch faces2. Build quality can improve3. Lacks camera remote module (basic fitness band version has it though)4. Interface can improve to make it more intuitiveOverall a satisfactory product to own and worth recommending. Hope some of the highlighted creases get smoothened out with due course."
Harsh Vardhan Khanna,2.0 out of 5 stars,Device is good but the app will frustrate you.,There are no major issues with the watch but a big issue with the app. The fitness tracker unbinds itself everyday from the app and it is almost impossible to pair it again without uninstalling the app. Colofit Pro 2 is a total waste of money because tracking down everything on the device sounds good but synchronising it is a tough job. So I wouldn't recommend anyone to buy this. I read all the reviews on amazon and bought it and was totally diappointed.
Dhruvi Sangani,1.0 out of 5 stars,Quality,The product is not of adequate quality. Alerts and notifications dont come up
Mukul,2.0 out of 5 stars,0 out of 10. I've wasted my money on looks only,Worst watch ever. Keep disconnecting from the phone . And the 2nd day stop connecting.. im getting calls elert. But no msgs elert.. I've restart my phone amd watch even their application.. still nit getting alert of msgs
Harish Wadhwani,1.0 out of 5 stars,"Despite return window open , Not accepting return! Pathetic pedometer","Bad Pedometer# Wrong steps counterBad Heart rate sensor# Delay in sensing beatsBad UI# Touch not effectiveBad Face # No joy , BoringGood body shape and sizePathetic watchReturned"
Subhash Choudhari,4.0 out of 5 stars,Value for Money | Best Smart Watch at this Price,"Pros:1. Light weight and feel very lite in hand2. Battery life is long and good3. Brightness HD display4. Waterproof5. Various sports mode like running, cycling etc.6. SpO2 measure essential nowadays7. Heart Beats Monitoring8. Steps Count accuracy9. Call Reject Replies Option10. Water and Other reminders11. Music control12. Customised Watch faces and too many options13. UI is very good and smooth14. Sleep tracking15. App Notifications like FB, what's app etcCons: 1. Connecting issue initially2. MOBILE app of Noise has some issues time to time3. After disconnecting with app it reset the data from start which i personally didn't like itOverall at this price its too good.. But it's just one week review"
Amazon Customer,5.0 out of 5 stars,Super,Amazing product i love it
Hitu Thakar,5.0 out of 5 stars,Awesome,Noise colorfit pro 2 is a great advanced version of colorfit pro... Great work of all function.. Best part of its lookout... Best value for 💰.
sachin kumar,1.0 out of 5 stars,Worst Product,It's sensors aren't working properly. You will keep moving you arm but it will not wake up. Think before you buy this. Other brands smart watches are much better than this in the same price range. I regret my decision.
Siddharth,4.0 out of 5 stars,Good buy at offered price,"I have been using it for around past 20 days and here's my review.Aesthetic: It's best, almost look alike my series 2 apple watch.Accuracy: Heart rate sensor is decent. Although not 100% accurate, I would say 75-80% accurate. Step counter accuracy: 80%Response time: (when you face your wrist to see time): There's significant lag of 1-2 seconds which you wouldn't find in apple watch or any other high end watch like fit bit or samsung gearTouch sensitivity: It's not as smooth as I was expecting but at this price range it's decent.Colors: Colors are quite good in fact much better than amazfit bip lite or Lenovo smart watch.Battery: Pretty powerful so far. Almost last for 10 days after full charge even when app notifications are always on and also heart rate sensor is continuesly on.Note: You can't take call or reply for your whatsapp messages."
chandramohan,1.0 out of 5 stars,Worst responce,"Sir I bought my new noise colour pro 2 on 15/6 through Amazon from Appario retail private Ltd by invoice no IN-DEL2-310556 for rs 3499 .As per the instructions I downloaded the noisefit sports from play store and connected with my Samsung s20 it worked well .Afternoon while charging the Bluetooth connection when off ,I tried several times to connect through the app when I select to connect it shows refresh I tried several times. I need your help to solve the problemThanks & RegardsChandramohan"
Nikitesh Vadhani,1.0 out of 5 stars,No push notifications and NO REFUND POLICY,"1. No push notifications when i use the new app. Latest firmware. Latest app. Phone - OnePlus 5 with Android 10. (works great with old app) Everytime i open the app, it shows that the device is initializing and i receive no notification on my phone with the new app even when the app is ALWAYS on in the background and battery optimization is off for this app.2. Distance does not show when i start activity from new app - shows only time.3. Tracks the distance of run VERY inaccurately when i start activity from app. Shows distance of 0.7 kms after running more than 4 kilometers.I am feeling VERY cheated. I am interacting with Whatsapp support but their solutions are not helping. I paid so much more than Mi and Honor bands only to support Indian brands but the app-phone connectivity is HORRIBLE. I am on the verge of filing a consumer-court complaint unless you provide me with a solution or else provide me with store credit and take this watch away from me."
Shubham T.,1.0 out of 5 stars,Incomplete Order,Received a different product with missing accessories
Milani Chakma,5.0 out of 5 stars,Worth buying.,"After using 3weeks my Noise Colorfit Pro 2. I would like to write my FEEDBACK in details.. BATTERY is super LONG lasting once u fully charged its goes over a week. TOUCH is SMOOTH. As for SCREEN READABILITY and the NOTIFIER _ good for reading the TIME and the NOTIFICATIONS in bright SUNLIGHT. It's delivers basic nofications: incoming calls, SMS, e-mail, social media alerts..u can add MENSURATIONS cycles alert that's helped. The reminder of IDLE Alert and SLEEPING TRACKER Helps me alots. Via this smartwatch u can control ur music without touching phone.. ACTIVITY tracking is ACCURATE. Hope this will help..if u r looking forward to buy. Its worth money."
AYUSH JAIN D,1.0 out of 5 stars,Unsatisfied,Not satisfied with the features and quality compared to Amazefit.
Balaji,4.0 out of 5 stars,A basic smart watch. Ideal for tracking exercise,"Received this today. It's pretty basic fitness band in the shape of smart watch. Installed Noisefit app on phone and connected the watch via Bluetooth.1. No call notifications , whatsapp, facebook, messages notifications received on watch.2. Watch has only 8 basic menus. 5 watch faces to choose from.3. Watches switches off screen automatically in 5 seconds with no option to change it.4. Music control does not work.5. Menstrual cycle tracking app is not present.Looks like the seller shipped another basic noise fit watch in this pro 2 box.My suggestion - Do not buy."
pranshu,2.0 out of 5 stars,"Very mediocre smartwatch, Apple Watch’s 5th copy","If you are just looking a Apple look alike smart watch then go for it, but if you are hoping for fitness band along with what a good smartwatch can do then please there are better products in market.Reviewing this after 4 weeks of use and using it for my workouts:Fitness:: I am over weight and not a workout person. Bought this so I can feel motivated once I join gym. The watch tracks your heartbeat and steps well but that’s it. It is unable to track whether you are working out or not. The calorie count only works for the steps taken. The app is never synced with the watch and won’t show data what your watch tracks.Touchscreen: The LCD screen of the watch will take you back in time when pixelated images and icons were the standard. The touch is not very responsive but does the work 70% of the time.Screen: The screen has got Bazels which is not visible in the picture.Overall a very mediocre product"
rajesh,4.0 out of 5 stars,Good watch with some minor here and there's,"Overall good watch for the price.Writing this review after 1.5 month usage.Pros:Rough and toughIp68 ratingGood displayCool watch faces.Resembles apple watch😅Cons:Limited watch faces.Accuracy in fitness tracking is low.Even after turning the auto heart rate sensor OFF, it sometimes starts measuring bpm even if you are not wearing the watch which is quite irritating and also consumes unnecessary battery at times."
Nitin sharma,4.0 out of 5 stars,Good watch for the price.,Very good watch for the price. Worth the priceFeatures are good. Design is very good and minute things have been taken care. Interface and app are also easy to configure and use. Watch looks goood.Few things that need improvement:1. more watch faces and provision to choose watch face from phone gallery. Have only 5-6 watch faces to choose from.2. Touch is little late and do not take commands sometimes. Needs a little improvements. Sometimes have to touch multiple times while navigating across. Over all good3. Flipping the watch to see screen lighting up have a lag. It should be faster.4. More control of music needed.
chandan,1.0 out of 5 stars,It caused rashes on my son's wrist,The media could not be loaded.  My son used this watch while playing and sleeping daily since 24 Oct 2021. Today while dinner I noticed this wrist having a rash mark where the watch was worn. I surprised me. The watch is not suitable as it is damaging the skin and quit possible that it may be having some side-effects below the skin also
Dhananjay Kumar Sah,1.0 out of 5 stars,Not worth for the penny you pay,"Highly disappointed with this product, only thing come with this is the large display size and battery life, the rest remaining thing like function, watch faces, modes are disappointing.The strap material of poor quality turns black within a few days, the dial material looking great bu the durability is very less within a week or two you will find the signs of paint removal"
sahil kathuria,1.0 out of 5 stars,Waste of money,"It got automatically disconnected severaltimes and it do not show message/whatsapp/call notification on time and also not able to read complete whatsap message. So its not a smart watch its a dumb watch. So its a waste of money, better to go with normal watch (fastrack) or increase your budget if u really want smart watch do not waste your money for so calling smart watch of go noice ."
Prasad,3.0 out of 5 stars,10 days still 55% battery,"After using for 10 days, I see 55% battery still remaining. Hope it continues this battery performance atleast for 1 year. Sensor charging is fast.Sleep data is inaccurate (I slept for 6h & didnt use watch for 3 hours after waking up) it show I slept for 9 hours :)Steps/jogging data is not very accurate but does its job well when I compare it with data on Google Fit and Strava.As an entry level smartwatch, this seems to be good choice for 1000-1500 and not more than that. Strap looks to be of poor quality and not sure how will I repair it if the strap pin goes bad after accidental pull.Syncing with other app/services is touchAnyways, you can go for it if its your first smartwatch."
mayank shekhar jha,1.0 out of 5 stars,The worst. Do not buy. Junk!!!,"The worst purchase of my life. Ever. It is a crappy product with the screen clarity of a cheap streetside watch meant for kids. The features are too few and even the ones that are there are not very accurate. The touch function is slow and the watch takes a lot of time to light up with the wrist movement. In short it is slow as hell.Most importantly the app just does not work. It never connected with this pathetic ""fitness/smart"" watch and hence cannot be used to track or record or keep a tab on anything. Shame on this company that sells junk at inflated rates. Wish they had focused more on the technology and their two bit app rather than advertising with Rohit Sharma to fool unsuspecting potential customers. The sold out Technical Guruji also as always had nothing bad to say about this junk. I was taken for a ride. Hope you are not. I can not suggest a better product but can assure you that its best to stay as far away from this colossal trash as possible."
Amazon Customer,3.0 out of 5 stars,Don't waste your money,Expected more .. it could have more options in this smart watch.. very very less features given .. it is hardly worth of Rs 1000 only .. waste of money.. back press not given.. notifications getting very late responding ..
bharu,1.0 out of 5 stars,DON'T BUY THIS BLOODY BAND..DON'T WASTE YOUR MONEY,I bought this band seeing the features..now i regret why i have purchased..i want to shift back to MI fit which is the best band in affordable price and it worth it..i have attached pics..pls take a look.. before midnight 12 it is showing as goal completed 10k steps..after 12 it is showing that my step count is ZERO..app never syncs the data..we have to manually sync the data else it won't detect..even detected with errors..if you are seriously a fitness freak or if you want to loose weight by making 10k steps daily..PLEASE STAY AWAY FROM THIS PRODUCT..DON'T BUY THIS AND REGRET LIKE ME..WORST PRODUCT..IT IS TRUE THAT ALL GLITTER ARE NOT GOLD..I HAVE CONTACTED THEIR SUPPORT..ESCALATING THE ISSUE..NO PROPER RESPONSE..NO UPDATES TO THE APP..FEMALE MENSTRUAL CYCLE DATA IS WORST PART..I CALCULATE FAR BETTER THAN THE APP
Ashok,1.0 out of 5 stars,"DON’T BUY,  READ MY REVIEW. NO REFUND POLICY","Don’t buy this product, here are few reasons:1. There is no refund policy for this product.2. The display resolution is very poor. You will not able to read msgs properly3. There is lag while you scrolling.4. App for mobile is very poor interface and crashes5. Battery life is 3-4 days only. Please note this, don’t trap in 10 days battery life statement.6. Better but Amazfit, MI brand.7. Company is investing more in advertisements than quality research.8. Chaeap quality."
Amazon Customer,1.0 out of 5 stars,Smart functions of the watch are not working,(1) NoiseFit app is draining phone battery real quick.(2) Call disconnect function from watch is not working.(3) Watch is not giving notifications for social media apps including WhatsApp.
Nikhil Todkar,2.0 out of 5 stars,2 star,Quality of watch does not matches with price. Low quality product. And body to screen ratio is also low.I thought MRP of watch is 5k and I am getiing it in 50% off price so it has multiple sport modes and fuctions but completely disappointed with it. It is not worth to buy @ 50% off price also.
KULDEEP SINGH SHAKTAWAT,1.0 out of 5 stars,Issues in Syncing Data,"Some of the Cons identified with this watch :1. Too big bezels. It does not look good when the display is ON.2. There is a lot of issues in syncing the data. The step counts, calories, etc are not getting pushed to the NoiseFit app and the transferring of new Watchface stuck at 0% and it stays forever until you force close the app.3. Also, the number of steps added from the NoiseFit app to Apple Health app is ridiculous. It adds the total steps more than 3 times everytime time you syncup the watch to the overall daily steps in the Health App making the count incorrect."
Pranoy,1.0 out of 5 stars,Too bad to even comment.,It is better to invest money in fitbit or apple watch if you really need a watch. We wear watch so that we can track our sleep and activities without causing issues. This watch has ruined my time and faith in small brands. Neglectful service and support for watch owners.Received faulty device and was not contacted by them so that they can stay away from getting it returned or replaced.0 stars if possible for customer service.
Sahil,1.0 out of 5 stars,Please read this review before buying this product,"Important: Please read bride buyingHardware: The looks are good the activity mode has four modes that are good, there are stopwatch and timer which are also good, the battery backup is decent, it works for around 10 days.Software: this is the most pathetic app that I have seen in my life. The app does not do the tracking which is the most important part of this product. This version or the latest version of the app is not able to track sleep hours at all, it will show you steps for today but by tomorrow everything will be gone. I have attached the screenshots of the app that shows that I have walked for only three days and slept for only three days in last 25 days of continuously wearing this device. The other screenshots are from the health app from Apple that shows my walking and sleeping trends.The previous version of the app Was also not working as the app used to say update and there wasn’t any update in the App Store.The app has been full of bugs from the beginning and I have seen it like that from last two months. You can verify my comments by going in the App Store or play store and sorting the reviews by latest first. I don’t think the app is going to improve in futureMy verdict: please do not buy this otherwise you’ll be disappointed. Thanks!"
Sanjay Sengupta,5.0 out of 5 stars,If u intend then go for it blindly,"This product is a nice watch in the market and I would recommend it to be bought definitely if one desires for a smart watch. Good battery life smooth applications, a bit of a problem when you want to reconnect with mobile. May be it bcos I'm using one plus 7T.The watch is very light and we'll designed also."
Amazon Customer,3.0 out of 5 stars,Average product at this price range,"I am using this product for more than 1 month now.Few good things:Easy to setupReally light weightLooks great on wristGood battery easily works 5 days after full chargeFew improvements:Big one is accuracy for almost all features: steps are really under rated, sleep tracker also I doubtFew features don't work like idle alert, calendar reminder etcOverall I was looking for a gadget made in India. So far really good on hardware (look and feel) but software needs to improve to compete with other China based products"
SAMPATH,5.0 out of 5 stars,A perfect Budget Smartwatch with Apple like looks.,"A perfect product at this price range ! Very similar to Apple watch looks wise. Display is IPS LCD , so you cant expect an apple watch kind of display , but it does satisfies the money given ! Limited watch faces .. hope so they provide software updates to enhance the faces . Overall a must buy budget smartwatch within the 3k range."
nanDan,5.0 out of 5 stars,Why i bought this?,"I think most smartwatches below 10k are still immature, meaning, they do not justify the word SMARTWATCH.But now if you want an actual smartwatch then you either buy a Garmin, Galaxy or Apple watch which is crazy expensive.So the reason i bought this was just to see TIME and to see call/message NOTIFICATION while i'm driving. That's it.Now this is my first time experience so let me tell you why these watches are useless most of the time but very useful in some cases:⭕You always need to be connected to your phone and the noise app ALWAYS runs in background! This was so annoying because all these combined drain the battery too much. This is applicable to all watches that rely on Phone App, BT, GPS to be always connected.⭕This watch doesn't do all time sleep tracking. Meaning if you wake up in the middle of the night, it's counting will break and will show the data till the moment you woke up. Also, this doesn't track when you sleep intermittently in day time.⭕Vibration is good, Drink and idle reminder are useful, Brightness is enough for both day-night. Music control works with spotify and Youtube but no volume control. Watchfaces are limited and most of them are clunky but some are good so ok for the price. No lag and battery is 10+ day under normal usage which is again great for the price.⭕I should say that tap to wake screen should have been there because sometimes wake gesture fails.⭕Overall this watch is best for the price. The problems i mentioned is generally applicable to all budget watches so why not go for the lowest price one which actually offers value for money. (I mean you should buy noisefit pulse)Bottomline: Watches are still dumb and not smart until they rely on a smartphone to do everything.I'm sure there would be people who would resonate with my statements, hit the button below if you agree.👇"
Ranjeet Nair,4.0 out of 5 stars,Good product and good improvements but poor technical support don't expect any help!!,"I have used the product of over a year now and i have seen a lot of ups and down with this product. Now initially when i bought this product back last year I thought what a mistake and why? The product had lot of short comings for instance staying connected with the phone was a big challenge and getting help from technical support being a bigger challenge. There is no change in the part of getting help from technical support or help. However I have to say that the product has drastic changes and improvements making me change my initial rating and rerating this a 4 star. I am stingy in giving ratings besides there is always scope for improvements. Now let me tell you the good part, its a rough and touch watch with good styling on it. Definitely water proof you can go for a swim without worries and you would not regret. All notifications on your dial. The have also updated the app for the watch which you can use to sync with your phone which earlier use to give me trouble and now its a piece of cake. Now can you change the watch faces or only use the default ones, yes you can put your picture that you want using your app on the phone and its pretty cool. You can keep a tab on your activities pretty easily. In short for the pricing that its been provided its a good catch. I have recommended this to many of my friends and its a worth buy.."
Shriniwas Sharma,5.0 out of 5 stars,Purchase it now !,The grey strap is killing it . Best watch under 3k. The app is also super cool but they're some glitches at times but it's improving everyday.
Abhay,1.0 out of 5 stars,Misleading Description  about smart notification,"This realtime smart notification is limited to few apps, like WhatsApp Instagram etc.. but in the product description they didn't mentioned this. Pls be careful while buying product cannot be returned . Customer support is very very very poor . Even Amazon customer care executive was not ready to report this misleading description. They asked to call manufacturer not to Amazon"
Umesh K.,1.0 out of 5 stars,This watch is nothing just a scam,The media could not be loaded.  Heart beat and blood O2 measuring feature is fake they just give any no. And shows that it's your heart beat. How can you tell the heart rate and blood O2 of the strap. Don't buy this.
